Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GTEX-1A32A-0001_C40JE.7_trimmed_read2	GTEX-1A32A-0001_C40JE.7_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3045928.0	0.0	10-76	48.0	96.42143261381453	74.47792068624078	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40JE.8_trimmed_read1	GTEX-1A32A-0001_C40JE.8_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2976770.0	0.0	10-76	48.0	96.46698009721509	74.96050282688955	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40JE.8_trimmed_read2	GTEX-1A32A-0001_C40JE.8_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2976770.0	0.0	10-76	48.0	96.51077190484256	74.5826664471894	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40KK.1_trimmed_read1	GTEX-1A32A-0001_C40KK.1_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2523549.0	0.0	10-76	48.0	98.50819721874413	72.38710403483348	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40KK.1_trimmed_read2	GTEX-1A32A-0001_C40KK.1_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2523549.0	0.0	10-76	48.0	98.5779608131255	71.57722081085012	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40KK.2_trimmed_read1	GTEX-1A32A-0001_C40KK.2_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2558780.0	0.0	10-76	48.0	98.66015767233075	71.2626658016711	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40KK.2_trimmed_read2	GTEX-1A32A-0001_C40KK.2_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2558780.0	0.0	10-76	48.0	98.57063779960282	70.87681942175568	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40KK.3_trimmed_read1	GTEX-1A32A-0001_C40KK.3_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2463819.0	0.0	10-76	48.0	98.84963496682437	70.8008762007274	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40KK.3_trimmed_read2	GTEX-1A32A-0001_C40KK.3_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2463819.0	0.0	10-76	48.0	98.62811763139614	70.8776805439036	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40KK.4_trimmed_read1	GTEX-1A32A-0001_C40KK.4_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2444710.0	0.0	10-76	48.0	98.81577618458036	70.73427359482311	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40KK.4_trimmed_read2	GTEX-1A32A-0001_C40KK.4_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2444710.0	0.0	10-76	48.0	98.5916172702668	70.9820371332387	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40KK.5_trimmed_read1	GTEX-1A32A-0001_C40KK.5_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2410206.0	0.0	10-76	48.0	98.88459844651997	70.44955742372228	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
