Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GTEX-12WSD-0826_H7C86.2_2	GTEX-12WSD-0826_H7C86.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	951397.0	0.0	76.0	49.0	91.40101109759605	76.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C89.1_1	GTEX-12WSD-0826_H7C89.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1706915.0	0.0	76.0	49.0	88.70391374046766	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C89.1_2	GTEX-12WSD-0826_H7C89.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1706915.0	0.0	76.0	49.0	89.00746619005535	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C89.2_1	GTEX-12WSD-0826_H7C89.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1686760.0	0.0	76.0	49.0	88.70370623444511	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C89.2_2	GTEX-12WSD-0826_H7C89.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1686760.0	0.0	76.0	49.0	88.91619475815857	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C9P.1_1	GTEX-12WSD-0826_H7C9P.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1357054.0	0.0	76.0	49.0	89.9505999870112	76.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C9P.1_2	GTEX-12WSD-0826_H7C9P.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1357054.0	0.0	76.0	49.0	99.43852602731553	76.0	pass	fail	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C9P.2_1	GTEX-12WSD-0826_H7C9P.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1501234.0	0.0	76.0	49.0	89.11864103760097	76.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C9P.2_2	GTEX-12WSD-0826_H7C9P.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1501234.0	0.0	76.0	49.0	91.72768239434777	76.0	pass	fail	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7CAJ.1_1	GTEX-12WSD-0826_H7CAJ.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2009041.0	0.0	76.0	49.0	88.5221684841921	76.0	pass	fail	pass	fail	warn	fail	pass	pass	pass	pass
GTEX-12WSD-0826_H7CAJ.1_2	GTEX-12WSD-0826_H7CAJ.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2009041.0	0.0	76.0	49.0	88.61222961416536	76.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7CAT.1_1	GTEX-12WSD-0826_H7CAT.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1504718.0	0.0	76.0	49.0	89.23505757792786	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7CAT.1_2	GTEX-12WSD-0826_H7CAT.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1504718.0	0.0	76.0	49.0	89.64940277958647	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7CAT.2_1	GTEX-12WSD-0826_H7CAT.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1400470.0	0.0	76.0	49.0	89.43683728693044	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7CAT.2_2	GTEX-12WSD-0826_H7CAT.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1400470.0	0.0	76.0	49.0	89.74783952492949	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7CAU.1_1	GTEX-12WSD-0826_H7CAU.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1737659.0	0.0	76.0	49.0	88.46439265864737	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
